Name,Price,Quantity,Total,Grand Total
Needle Sunfish,1.16,2,2.32,
Tribe-Shocking Virus,2.2,1,2.2,
Amphibian Beast (LON-EN008),0.49,1,0.49,
The Masked Beast,5.99,1,5.99,
Masked Beast Des Gardius,15.99,1,15.99,
Mazera Deville,4.58,1,4.58,
Magic Hand,2.19,13,28.47,
Shaddoll Beast,4.98,7,34.86,
Thousand Eyes Restrict (DL1),15.78,2,31.56,
Thousand Eyes Restrict (DB1),63.06,2,126.12,
Mad Dog of Darkness (1st Edition),1.21,2,2.42,
Mad Dog of Darkness (Unlimited),4.98,1,4.98,
Necro Gardna (RYMP),4.7,3,14.1,
Necro Gardna (LCGX),5.98,2,11.96,
Necro Gardna (PGLD),7.87,1,7.87,
Necro Gardna (BP02),20.67,1,20.67,
Necro Gardna (TAEV),7.6,4,30.4,
Penumbral Soldier Lady,6.74,2,13.48,
Strike Ninja,3,1,3,
Zombyra the Dark (SYE),13.75,1,13.75,
Zombyra the Dark (BP01),3.18,1,3.18,
Yamato-no-Kami,3,10,30,
Ninja Grandmaster Hanzo,12.69,15,190.35,
Mataza the Zapper (BP02),14.4,2,28.8,
Mataza the Zapper (IOC),4,3,12,
Dark Blade the Dragon Knight,8.52,2,17.04,
Twin-Barrel Dragon (TDGS),5.8,1,5.8,
Twin-Barrel Dragon (BP01),4.48,2,8.96,
Heavy Mech Support Platform,1.99,1,1.99,
Red-Eyes Black Metal Dragon,5.02,4,20.08,
Malefic Parallel Gear,5.1,1,5.1,
R-Genex Overseer,8.4,2,16.8,
Reptilianne Vaskii,17.6,1,17.6,
Kycoo the Ghost Destroyer (DB2),10.99,2,21.98,
Kycoo the Ghost Destroyer (LON),8.5,5,42.5,
Kycoo the Ghost Destroyer (BP02),6.39,2,12.78,
Flame Ghost (Spanish),14,1,14,
Swarm of Crows,7.88,4,31.52,
Rapid-Fire Magician,20,5,100,
Relinquished (MCI),7.25,3,21.75,
Relinquished (LCYW),1.74,2,3.48,
Relinquished (SDP),3,7,21,
Skilled Dark Magician,11,1,11,
Shaddoll Zefranaga,4.25,2,8.5,
Sealmaster Meisei,1.25,1,1.25,
Magician of Black Chaos,11.98,2,23.96,
Witch's Apprentice,3.55,1,3.55,
Prophecy Destroyer,20,7,140,
Lord of D,2,9,18,
Summoner Monk (PGLD),5.02,5,25.1,
Summoner Monk (GLD4),4.98,2,9.96,
Summoner Monk (SDDC),3,1,3,
Summoner Monk (LCYW),21.98,1,21.98,
Witch of the Black Forest (BP01 Unlimited),15,1,15,
Witch of the Black Forest (BP01 1st),8.47,2,16.94,
Witch of the Black Forest (MRD),2.67,3,8.01,
Shaddoll Falco,2.89,1,2.89,
Shaddoll Dragon,7.26,4,29.04,
Shaddoll Hedgehog,2.57,1,2.57,
Silver Fang (Spanish),5,1,5,
Geargiaccelerator,4.98,3,14.94,
Kojikocy,1.2,1,1.2,
Goblin Attack Force,21,1,21,
Legendary Fiend,8.99,1,8.99,
Memory Crusher,4.5,2,9,
Tardy Orc,1.2,1,1.2,
Mask of Darkness (SDP),7.2,1,7.2,
Mask of Darkness (MRD),3.99,5,19.95,
"Sillva, Warlord of Dark World (EEN 1st)",17,1,17,
"Sillva, Warlord of Dark World (EEN Unlimited)",12,1,12,
"Sillva, Warlord of Dark World (SDGU)",3,1,3,
Shadowslayer,50,1,50,
Steelswarm Genome,5.66,1,5.66,
Tour Bus to Forbidden Realms,2.2,3,6.6,
Steelswarm Sentinel,2.29,1,2.29,
Stygian Street Patrol,22.23,3,66.69,
Sangan,6.31,2,12.62,
Lesser Fiend (1st),3.11,2,6.22,
Lesser Fiend (Unlimited),3.55,2,7.1,
Mad Archfiend,5,1,5,
Opticlops (SKE),2.89,1,2.89,
Opticlops (LOD),2.17,1,2.17,
Newdoria (PGD),4.49,3,13.47,
Newdoria (RP02),5.98,1,5.98,
Toon Summoned Skull (LCJW),11.11,4,44.44,
Toon Summoned Skull (MRL),25,1,25,
Toon Summoned Skull (SDP),2.95,2,5.9,
Tour Bus From the Underworld,3.23,1,3.23,
"Kahkki, Guerilla of Dark World (STON)",2,3,6,
"Kahkki, Guerilla of Dark World (SDGU)",2.19,1,2.19,
"Gren, Tactician of Dark World (SDGU)",2.28,1,2.28,
"Gren, Tactician of Dark World (STON)",17.6,2,35.2,
Evilswarm Nightmare,7.89,1,7.89,
Viser Des,5.21,3,15.63,
Dark Balter the Terrible (1st),8.78,3,26.34,
Dark Balter the Terrible (Unlimited),9.93,3,29.79,
Fiend's Mirror,5.45,2,10.9,
Dark Master - Zorc,0.2,2,0.4,
Chakra,16.63,3,49.89,
Zera the Mant,6.99,17,118.83,
Return Zombie,2.5,10,25,
Five-Headed Dragon (SD09),98,5,490,
Five-Headed Dragon (LC03),21.08,9,189.72,
Spirit Reaper (LCYW),10.33,1,10.33,
Spirit Reaper (PGD)(Unlimited),6.32,2,12.64,
Spirit Reaper (PGD)(1st),5.99,3,17.97,
Spirit Reaper (DR1),35.44,2,70.88,
Zombowwow (Unlimited),4.98,1,4.98,
Zombowwow (1st),3.93,4,15.72,
Vampire Lord,5,2,10,
Red Eyes Black Dragon (SD1),12,1,12,
Red Eyes Black Dragon (DB1),200,1,200,
Red Eyes Darkness Dragon,5.26,1,5.26,
Red Eyes Zombie Dragon,8.99,1,8.99,
Vampire Genesis,3.3,3,9.9,
Reaper on the Nightmare,16.99,3,50.97,
Malefic Truth Dragon,28.82,4,115.28,
Malefic Stardust Dragon,30,6,180,
Malefic Rainbow Dragon,19.27,1,19.27,
Malefic Red-Eyes Black Dragon,6,7,42,
Slate Warrior (TP8),2500,1,2500,
Twin-Headed Behemoth (LOD 1st),316,1,316,
Metal Dragon (Spanish),200,2,400,
"Tytannial, Princess of Camellias (1st)",49.99,1,49.99,
Dreadscythe Harvester,48.14,4,192.56,
Harpie Lady Sisters (E009),46.06,1,46.06,
Twin-Headed Behemoth (LOD Unlimited),39.99,5,199.95,
Cloudian - Eye of the Typhoon,36.91,3,110.73,
Luster Dragon (MFC),30,1,30,
Fiend Skull Dragon (DB2),27,1,27,
Luster Dragon (LOD),25,4,100,
Guardian Eatos (DRLG),24.88,17,422.96,
Spear Dragon (DB2),24.63,2,49.26,
Slate Warrior (BP02),22.9,7,160.3,
Mist Valley Apex Avian ,22.7,1,22.7,
Turbo Synchron (1st),22.12,2,44.24,
Guardian Eatos (CT08),22.09,6,132.54,
Combo Master,21,4,84,
Mist Valley Thunderbird (DT01),18.41,1,18.41,
Rapid Warrior,16.99,1,16.99,
Harpie Lady 3,16.22,3,48.66,
Winged Rhynos (Limited),15,2,30,
Stardust Dragon/Assault Mode (DP09 Unlimited),14.72,2,29.44,
Winged Rhynos (1st),14.46,2,28.92,
Sasuke Samurai #4,14,4,56,
Chimera the Flying Mythical Beast (YGLD),13.33,1,13.33,
Luster Dragon (SD1),13,1,13,
Max Warrior (Unlimited),10.98,6,65.88,
Turbo Synchron (unlimited),10.98,1,10.98,
Harpie Lady,10.53,4,42.12,
Stardust Dragon/Assault Mode (DP09 1st),10.39,1,10.39,
Ultimate Insect LV5,9.91,3,29.73,
Koa'ki Meiru Speeder,9.21,2,18.42,
Fiend Skull Dragon (LCJW),8.56,2,17.12,
Harpie Queen,8.52,5,42.6,
Stardust Dragon/Assault Mode (DPCT),8.43,15,126.45,
R-Genex Turbo,8.4,2,16.8,
Ancient Lamp,8,2,16,
Gusto Griffin,7.88,2,15.76,
Heraldic Beast Twin-Headed Eagle,7.88,4,31.52,
Harpie Lady 2,7.57,2,15.14,
Armed Dragon LV5 (SOD),7.39,2,14.78,
Speed Warrior,7.2,9,64.8,
Kazejin,7,2,14,
Reborn Tengu,6.99,1,6.99,
"Kamui, Hope of Gusto",6.65,1,6.65,
Storm Shooter,6.48,2,12.96,
R-Genex Accelerator,6.39,4,25.56,
Search Striker,6.39,3,19.17,
Hypnosister,6.34,1,6.34,
Chimera the Flying Mythical Beast (LCYW),6.32,1,6.32,
Mist Valley Thunderbird (HA01),6.3,4,25.2,
Chachaka Archer,6.08,1,6.08,
Max Warrior (1st),5.99,6,35.94,
Spear Dragon (LOD),5.75,11,63.25,
"Tytannial, Princess of Camellias (Unlimited)",5.49,1,5.49,
B.E.S. Tetran,5.06,1,5.06,
Adhesive Explosive,5,3,15,
Duck Fighter,5,3,15,
Fiend Skull Dragon (LOD),5,1,5,
Goe Goe the Gallant Ninja,5,4,20,
Harpie Lady Sisters (009),4.99,4,19.96,
Chimera the Flying Mythical Beast (ABPF),4.98,1,4.98,
Spear Dragon (TP6),4.74,1,4.74,
Ultimate Insect LV3,4.5,1,4.5,
Twin-Headed Behemoth (SDDL),4.32,1,4.32,
Sasuke Samurai (Unlimited),4.27,3,12.81,
Armed Dragon LV5 (SDDL),4.25,3,12.75,
Bladefly,4,1,4,
Dragunity Arma Leyvaten,3.99,1,3.99,
Guardian Eatos (LC03),3.99,8,31.92,
"Simoorgh, Bird of Divinity",3.95,4,15.8,
Mecha Phantom Beast Tetherwolf,3.93,2,7.86,
Sylvan Peaskeeper (EN015),3.93,1,3.93,
Slate Warrior (BP01),3.91,1,3.91,
Sylvan Peaskeeper (ENDE1),3.76,1,3.76,
Featherizer,3.41,4,13.64,
Mecha Phantom Beast Turtletracer,3.28,1,3.28,
Metal Dragon (LOB),3,1,3,
Chaosrider Gustaph,2.99,4,11.96,
The Tricky,2.19,2,4.38,
Twin-Headed Behemoth (BP02),2.04,2,4.08,
Eccentric Boy,2,1,2,
Flelf,1.57,1,1.57,
Luster Dragon (BP02),1.5,1,1.5,
Luster Dragon (BP01),1.25,1,1.25,
Sasuke Samurai (1st),1,1,1,
Super War-Lion,5.99,6,35.94,
Javelin Beetle,3.55,15,53.25,
Black Luster Soldier (SYE),400,10,4000,
Black Luster Soldier (DPYG),21.72,1,21.72,
Black Luster Soldier (YGLD),6.5,1,6.5,
Pair Cycroid,7.9,14,110.6,
Cyber Blader,5,1,5,
Mad Sword Beast (Unlimited),15.47,1,15.47,
Mad Sword Beast (1st),6.67,2,13.34,
Uraby,9.21,1,9.21,
Beaver Warrior,100,1,100,
A-Team: Trap Disposal Unit,4.98,8,39.84,
Arcane Apprentice,6,4,24,
Blazewing Buttefly,6.11,1,6.11,
Brotherhood of the Fire Fist - Bear,8.55,1,8.55,
Charcoal Inpachi,4.74,1,4.74,
Charcoal Inpachi (SOD),14.49,2,28.98,
Coach Captain Bearman,21.04,1,21.04,
Cyber Esper,12.27,1,12.27,
Cyber Phoenix (EOJ),9.59,2,19.18,
Cyber Phoenix (SDCR),2.98,4,11.92,
Dragonic Knight,33.89,1,33.89,
Evocator Chevalier (BP02),6.39,1,6.39,
Evocator Chevalier (SDWS),10.29,4,41.16,
Evolsaur Vulcano,5,1,5,
Evoltile Najasho (1st),3.61,1,3.61,
Evoltile Najasho (Unlimited),7.18,2,14.36,
Fire King High Avatar Garunix,14.03,1,14.03,
Fire Princess (LCYW),11.84,4,47.36,
Fire Princess (LON)(1st),171.53,1,171.53,
Fire Princess (LON)(Unlimited),70,6,420,
Firewing Pegasus,22.9,5,114.5,
Flame Swordsman (DB1),2,1,2,
Flame Swordsman (LOB),12.75,3,38.25,
Flame Swordsman (SDJ),1.99,2,3.98,
Flamevell Commando,36.23,1,36.23,
Flamevell Dragnov,2.38,7,16.66,
Flamevell Firedog (AP01),8.43,1,8.43,
Flamevell Guard (HA01),3,7,21,
Flamevell Guard (SDBE),3.09,1,3.09,
Flamevell Magician,2.2,9,19.8,
Flamvell Baby,6.37,1,6.37,
Flamvell Firedog (SDOK),1.2,1,1.2,
Flamvell Magician,2.38,1,2.38,
Gaia Soul the Combustible Collective,4.88,4,19.52,
Gladiator Beast Heraklinos,6.33,6,37.98,
Horus the Black Flame Dragon LV4,10,1,10,
Infernal Flame Emperor,3.94,12,47.28,
Infernal Incinerator (DP2),5.06,1,5.06,
Infernal Incinerator (EEN),1.75,1,1.75,
Jurrac Brachis,3.16,1,3.16,
Jurrac Guaiba,9.38,1,9.38,
Jurrac Iguanon,6.97,1,6.97,
Jurrac Monolph,7.35,1,7.35,
Jurrac Ptera,4.67,5,23.35,
Jurrac Stauriko,8.4,3,25.2,
"Kayenn, The Master Magma Blacksmith",6.29,2,12.58,
Lava Golem (IOC),12,2,24,
Lava Golem (LCJW),14.99,2,29.98,
Lava Golem (PGD),35,1,35,
Lava Golem (SDMA),23.69,6,142.14,
Laval Blaster,7.88,5,39.4,
Laval Burner,18.75,1,18.75,
Laval Coatl,7.88,4,31.52,
Laval Forest Sprite,18.75,3,56.25,
Laval Miller,18.75,1,18.75,
Laval Phlogis,5,7,35,
Laval Volcano Handmaiden,7.75,4,31,
Little Chimera,1.95,2,3.9,
Lonefire Blossom (PGLD),4.13,5,20.65,
Lonefire Blossom (PTDN),19.03,3,57.09,
Manga Ryu-Ran (MRL),3.65,2,7.3,
Manga Ryu-Ran (SDP),3.29,1,3.29,
Manticore of Darkness,2.18,2,4.36,
Nitro Synchron (DP08),22.16,3,66.48,
Nitro Synchron (TDGS),9.46,1,9.46,
Phoenix Gearfried (LCJW),2.1,1,2.1,
Phoenix Gearfried (SDWS),5.99,4,23.96,
Prominence Hand,7.9,17,134.3,
"Prominence, Molten Swordsman",6.28,2,12.56,
Pyrotech Mech - Shiryu,18.13,2,36.26,
Red Dragon Ninja,6.92,1,6.92,
Seed of Flame,16.65,1,16.65,
Soaring Eagle Above the Searing Land,8.12,1,8.12,
Thestalos the Firestorm Monarch,4,3,12,
Wind-Up Magician,5.98,1,5.98,
ZW - Asura Strike,6.3,3,18.9,
"Ruin, Queen of Oblivion",14.95,4,59.8,
Elemental Mistress Doriado,5,3,15,
XZ-Tank Cannon,14.2,1,14.2,
Twin-Headed Thunder Dragon,6,1,6,
XYZ-Dragon Cannon (DP2),16.45,2,32.9,
XYZ-Dragon Cannon (1st),4.98,1,4.98,
VWXYZ-Dragon Catapult Cannon (DP2),25.86,4,103.44,
VWXYZ-Dragon Catapult Cannon (EEN),7.74,1,7.74,
Panzer Dragon,4.98,4,19.92,
Cyber Twin Dragon,6.49,1,6.49,
ZW-Unicorn Spear,5.26,1,5.26,
ZW-Lightning Blade,10.98,2,21.96,
Zaborg the Thunder Monarch,2.87,2,5.74,
"Zeradias, Herald of Heaven",5.98,2,11.96,
"Wulf, Lightsworn Beast (1st)",8.5,2,17,
"Wulf, Lightsworn Beast (Unlimited)",11.84,1,11.84,
Tuningware,36.23,1,36.23,
Worm Xex,2.39,1,2.39,
Worm Dimikles,1.5,6,9,
Worm Cartaros,1.5,6,9,
Worm Barses,1.69,9,15.21,
Worm King,17.77,1,17.77,
Worm Apocalypse,1.35,9,12.15,
Winged Kuriboh LV10 (Unlimited),14.48,2,28.96,
Winged Kuriboh LV10 (1st),11,2,22,
White Magical Hat,3,1,3,
Vylon Tetra (BP02 Holographic),5,1,5,
Vylon Tetra (BP02 Normal),2,2,4,
Vylon Tetra (HA06),3.99,6,23.94,
Vylon Tesseract,2.5,3,7.5,
Vylon Stigma,2.92,5,14.6,
Vylon Stella (BP02),4.45,1,4.45,
Vylon Stella (HA06),6.73,2,13.46,
Vylon Sphere,7.88,1,7.88,
Vylon Soldier,2,2,4,
Vylon Pentachloro,4.95,3,14.85,
Vylon Prism (SDLI),3.95,2,7.9,
Vylon Prism (BP02),3.16,1,3.16,
Vylon Prism (HA06),3.95,2,7.9,
Vylon Cube,3.96,2,7.92,
Vylon Charger,3.25,1,3.25,
Victory Viper XX03 (DR04),50,1,50,
Victory Viper XX03 (EOJ),35,1,35,
Trident Warrior,4.98,1,4.98,
UFOroid,5,3,15,
Triple Star Trion,4.82,2,9.64,
Thunder Sea Horse,5.87,8,46.96,
Time Wizard,405.3,3,1215.9,
Theinen the Great Sphinx (MC2),15,2,30,
Theinen the Great Sphinx (EP1),2.5,16,40,
Theban Nightmare,1.1,1,1.1,
Sphinx Teleia,2.49,25,62.25,
Sishunder,2.19,1,2.19,
Splendid Venus,2.19,4,8.76,
Spirit of the Harp,3.75,1,3.75,
Solar Wind Jammer,2.19,2,4.38,
Shining Angel (SDCR),2.19,4,8.76,
Shining Angel (SDBE),2.02,1,2.02,
Stardust Phantom,2.22,1,2.22,
Sasuke Samurai #3,2.5,2,5,
Satellarknight Alsahm,9.38,1,9.38,
Reflect Bounder,3.97,1,3.97,
Road Synchron (LC5D),6,1,6,
Road Synchron (DP09),3.87,13,50.31,
Road Synchron (5DS2),6.85,7,47.95,
Queen's Knight,9.25,1,9.25,
Psychic Emperor,6,5,30,
Proto-Cyber Dragon,2.7,9,24.3,
Phantom Dragon (BP02),5,7,35,
Phantom Dragon (LODT),5.77,2,11.54,
Photon Circle,4.49,1,4.49,
Photon Wyvern,5.57,5,27.85,
Photon Slasher,4.5,1,4.5,
Photon Sabre Tiger,2.19,1,2.19,
Photon Cerberus (SP13),1.25,1,1.25,
Photon Cerberus (PHSW),6,2,12,
Photon Cerberus (NUMH),8.98,10,89.8,
Sky Scourge Enrise,2.99,3,8.97,
Skilled White Magician,9.17,4,36.68,
Winged Kuriboh (TLM),11,2,22,
Winged Kuriboh (DP1),17,6,102,
Super Conductor Tyranno (SD09),3,11,33,
Super Conductor Tyranno (BP01),1.2,3,3.6,
Pahunder,5,4,20,
Metaphys Armed Dragon,2.24,1,2.24,
Electric Virus,2.87,2,5.74,
Cyber Larva,1.9,1,1.9,
Cyber Dragon Zwei,1.9,4,7.6,
Cyber Valley (SDCR),2.19,2,4.38,
Cyber Valley (BP01),1.9,1,1.9,
Cyber Valley (BP02),1.1,1,1.1,
Cyber Dragon (SDCR),3,3,9,
Cyber Dragon (RYMP),2.77,2,5.54,
Cyber Dragon (BP02),5.55,1,5.55,
Super Conductor Tyranno (BP02),3.89,1,3.89,
Chronomaly Golden Jet,3.48,1,3.48,
Ojama King,8,1,8,
Ancient Elf,3.09,2,6.18,
Dimension Gate,6.39,1,6.39,
Call of the Haunted (BP01),5.18,1,5.18,
Call of the Haunted (BP03),2.14,1,2.14,
Call of the Haunted (YSYR),2.19,2,4.38,
Call of the Haunted (SDOK),2.19,2,4.38,
Eatgaboon,4,1,4,
Spellbinding Circle,4.53,2,9.06,
Seven Tools of the Bandit,3.76,2,7.52,
Reinforcements (SDP),4,1,4,
Reinforcements (SDJ),8,1,8,
Reinforcements (SDK),7.12,1,7.12,
Reverse Trap,9,1,9,
Ultimate Offering,14.99,1,14.99,
Trap Hole,4.53,1,4.53,
A Feather of the Phoenix,5,2,10,
Accellight,3.87,1,3.87,
Acid Rain,15.81,2,31.62,
Advance Draw,2.99,6,17.94,
Advance Zone,8.84,2,17.68,
Advanced Heraldry Art,0.99,2,1.98,
Ancient Gear Castle,4.05,1,4.05,
Ante,2,4,8,
Arcane Barrier,4.45,1,4.45,
Armed Changer,1.5,4,6,
Array of Revealing Light,3.5,3,10.5,
Attack the Moon!,1.23,5,6.15,
Axe of Despair (DB1),1.99,2,3.98,
Axe of Despair (SYE),4,1,4,
Ayers Rock Sunrise,9.28,9,83.52,
Ayers Rock Sunrise (BP03),3.45,1,3.45,
Ayers Rock Sunrise (DRLG),3,5,15,
Battle Fusion,5.54,1,5.54,
Battle Fusion ,11.12,1,11.12,
Battle Waltz,3.92,1,3.92,
Beastly Mirror Ritual,2.99,7,20.93,
Berserker Soul,6.32,8,50.56,
Big Bang Shot (BP02),1.24,1,1.24,
Big Bang Shot (DR1),3.95,2,7.9,
Black Illusion Ritual (MRL)(1st),209,2,418,
Black Illusion Ritual (MRL)(Unlimited),100,1,100,
Black Illusion Ritual (SDP),5.75,1,5.75,
Black Luster Ritual (1st),2.64,6,15.84,
Black Luster Ritual (Unlimited),2.98,13,38.74,
Black Magic Ritual,10,1,10,
Black Pendant (BPW2),1.35,1,1.35,
Black Pendant (MRL),105.98,2,211.96,
Black Pendant (SDP),6.5,1,6.5,
Black Pendant (YSYR),1.25,1,1.25,
Book of Life (1st),30,1,30,
Book of Life (Unlimited),14.99,4,59.96,
Book of Moon (BP02),2.73,1,2.73,
Book of Moon (PGD)(1st),10,2,20,
Book of Moon (PGD)(Unlimited),7.93,7,55.51,
Brain Control (SD7),4,1,4,
Brain Control (TLM)(1st),7.09,1,7.09,
Brain Control (TLM)(Unlimited),10,4,40,
Brain Control (YSD),4.75,1,4.75,
Bubble Shuffle,7.87,1,7.87,
Bujin Regalia - The Mirror,3.92,2,7.84,
Burst Return,6.39,3,19.17,
Card Destruction (LCYW)(1st),15.37,4,61.48,
Card Destruction (LCYW)(Unlimited),4.51,1,4.51,
Card Destruction (SDY),2.39,19,45.41,
Card Destruction (Spanish),29.99,1,29.99,
Card of Safe Return,1.75,3,5.25,
Card of Sanctity (DPYG),2.02,2,4.04,
Card of Sanctity (DR3),9.33,1,9.33,
Card of Sanctity (TLM)(1st),3.81,2,7.62,
Card of Sanctity (TLM)(Unlimited),4.2,6,25.2,
Card Trader,3.5,4,14,
Celestial Sword - Eatos,5.06,10,50.6,
Circle of the Fire Kings,3.3,3,9.9,
Clock Tower Prison (DP05),3.5,3,10.5,
Clock Tower Prison (EOJ),14.5,4,58,
Confiscation (MRL),4.76,3,14.28,
Confiscation (SRL),7.99,1,7.99,
Constellar Star Cradle,2.19,9,19.71,
Creature Swap (BP01),1.5,2,3,
Creature Swap (LCYW),5,1,5,
Creature Swap (SD1),4.52,1,4.52,
Creature Swap (SD2),0.99,1,0.99,
Creature Swap (SDOK),1.23,1,1.23,
Crystal Abundance,1.38,1,1.38,
Crystal Beacon,1.25,4,5,
Cthonian Alliance,1.99,2,3.98,
Curse of the Shadow Prison,1.99,1,1.99,
Cyclone Blade,3.99,1,3.99,
Cyclone Boomerang,1.17,1,1.17,
D.D. Designator,6.6,5,33,
Dark City,5.86,5,29.3,
Dark Hole (DB1),42.89,1,42.89,
Dark Hole (SDK),8,1,8,
Dark Hole (SDRE),1.5,1,1.5,
Dark Magic Curtain ,5.65,8,45.2,
De-Synchro,2.5,4,10,
Dedication Through Light and Darkness,4,5,20,
Degenerate Circuit,6.51,2,13.02,
Detonate,1.79,1,1.79,
Different Dimension Gate,2.19,1,2.19,
Diffusion Wave-Motion (MFC),20,3,60,
Diffusion Wave-Motion (RDS),15,15,225,
Double Spell (LCYW),3.66,5,18.3,
Double Spell (MFC),11.49,2,22.98,
Dragonic Tactics,5.99,1,5.99,
Earthbound Revival,4.91,1,4.91,
Ectoplasmer (LCYW),2.5,1,2.5,
Ectoplasmer (SOD),19.95,11,219.45,
Ego Boost (BP02),1.2,2,2.4,
Ego Boost (YS13),1.31,1,1.31,
Elegant Egotist (LCJW),7.84,2,15.68,
Elegant Egotist (MRD),3.4,3,10.2,
Evo-Force,3.07,6,18.42,
Exchange (DB1),10,1,10,
Exchange (DPYG),7.72,2,15.44,
Fairy Meteor Crush (DB1),3.77,2,7.54,
Fairy Meteor Crush (PSV),70,5,350,
Feather Shot,2.98,2,5.96,
Fighting Spirit,3.99,1,3.99,
Fissure (BP01),2.77,2,5.54,
Fissure (DLG1),4.97,2,9.94,
Fissure (HL2),22.47,2,44.94,
Fissure (LCYW),7.82,3,23.46,
Fissure (LOB),5,3,15,
Fissure (SDJ),4.5,1,4.5,
Fissure (SDP),4.15,1,4.15,
Flash Fusion,4,9,36,
Flash of the Forbidden Spell ,2.99,2,5.98,
Flint,3.37,4,13.48,
Forbidden Arts of the Gishki,2,6,12,
Forbidden Dress,4.2,1,4.2,
Full-Force Strike,3.92,1,3.92,
Fusion Sword Murasame Blade,2.19,1,2.19,
Future Fusion (DP04),2.39,1,2.39,
Future Fusion (POTD),3.75,1,3.75,
Gagagaback,5.81,7,40.67,
Gagagabolt (ORCS),1.49,3,4.47,
Gagagabolt (ZTIN),2.1,11,23.1,
Gagagadraw,9.19,3,27.57,
Gishki Photomirror (1st),2.18,6,13.08,
Gishki Photomirror (Unlimited),1.25,1,1.25,
